,name,version,level,Status,Reason,full_hash,hash,Num Successes,Num Fails,Alloc Time,yaml_file,dependencies
2272dv5awz37hjck2jib5lvm6jpgqlt2,papyrus,1.0.1,0,SUCCESS,Not Scheduled,2272dv5awz37hjck2jib5lvm6jpgqlt2,bvdrtylqhpnlaoonppt7ewyscoezikf3,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/papyrus/specs/2272dv5awz37hjck2jib5lvm6jpgqlt2.yaml,"['4xadmhufpbmiqtukns5746hf4omjctp2', 'jsl7r5mwlzon5hijlxtp4kxv2h6khsww']"
232brivv6ubexfhpok7ilh2dqdmrsbjt,papyrus,1.0.1,0,SUCCESS,Not Scheduled,232brivv6ubexfhpok7ilh2dqdmrsbjt,zffra3boafiatqglpzo2djsr3bwvtrho,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/papyrus/specs/232brivv6ubexfhpok7ilh2dqdmrsbjt.yaml,"['2fvwcsqfxv6trc3ucje34ywir3ep2ebm', 'ygypy7hrlpr573l7usybknjq66a334ai']"
262dyfwazkyapwgpiucd27mluqikcpun,papyrus,master,0,SUCCESS,Not Scheduled,262dyfwazkyapwgpiucd27mluqikcpun,e5qjsidv2nytaqkapysymdiufxyofkrk,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/papyrus/specs/262dyfwazkyapwgpiucd27mluqikcpun.yaml,"['uyabpizxmcmo5i237ce7p6jqziuwdtnp', 'jav4wqudjcg7dsjv2bfmiftfzddznkg3']"
27qbglld7ukme42zi4yxyzgfaivbzkss,papyrus,1.0.1,0,SUCCESS,Not Scheduled,27qbglld7ukme42zi4yxyzgfaivbzkss,bvdrtylqhpnlaoonppt7ewyscoezikf3,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/papyrus/specs/27qbglld7ukme42zi4yxyzgfaivbzkss.yaml,"['kdnl3rlh2xgikkgby3xpomo5q2y3kfev', 'jsl7r5mwlzon5hijlxtp4kxv2h6khsww']"
2e5k4bq7ykmbow7okmagcahrmbzqntcb,papyrus,1.0.2,0,SUCCESS,Not Scheduled,2e5k4bq7ykmbow7okmagcahrmbzqntcb,jovpls5snpo33aodxiwg3fhp2prc75tq,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/papyrus/specs/2e5k4bq7ykmbow7okmagcahrmbzqntcb.yaml,"['3unaychwi57t4y7k6iytrw2ou6jtkamk', 'ygypy7hrlpr573l7usybknjq66a334ai']"
2jh7n6sfap5gloj5upbuitoq77qts7wv,papyrus,master,0,SUCCESS,Not Scheduled,2jh7n6sfap5gloj5upbuitoq77qts7wv,p62iqta5nxf7yjt6cv6ulsjtj6ekt255,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/papyrus/specs/2jh7n6sfap5gloj5upbuitoq77qts7wv.yaml,"['qggj523dktgoblmay3gsyfmqjswi3775', 'piol2hoakmpxu4jmihya3hfisbwwat7p']"
2l2szinahb7fygu5cawuztngdfzc62zs,papyrus,1.0.0,0,SUCCESS,Not Scheduled,2l2szinahb7fygu5cawuztngdfzc62zs,eannydslpoha34rd4ekmwbqhd2vwyn6m,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/papyrus/specs/2l2szinahb7fygu5cawuztngdfzc62zs.yaml,"['xpc5vskg2gaff732g22r6m5mzxrvtlcd', 'piol2hoakmpxu4jmihya3hfisbwwat7p']"
2lqw3ivd2vcbsf5vwagukskufancmyfy,papyrus,1.0.2,0,SUCCESS,Not Scheduled,2lqw3ivd2vcbsf5vwagukskufancmyfy,s2ruvvd7qhm2eb2sagwm3z5n6oq5yqpv,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/papyrus/specs/2lqw3ivd2vcbsf5vwagukskufancmyfy.yaml,"['eqjwss2dh4qzumpe65az7z6g2cq6cnpt', '4nzq2eqvti2hifnqlkafgwvgpenqaale']"
2pzgyyrbasdxzclx4jwlnoli6l3xi3pn,papyrus,1.0.2,0,SUCCESS,Not Scheduled,2pzgyyrbasdxzclx4jwlnoli6l3xi3pn,rq77capadkesbgylxtyb2scorl6xyefx,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/papyrus/specs/2pzgyyrbasdxzclx4jwlnoli6l3xi3pn.yaml,"['jwapr6sywhb23krxvgfqt6qiyjh5hlfs', 'qao2iw6bdjj5a6bwmda4f7xqf6lhvu2z']"
2qmijrp4qcvm3m4ix2ncd6hhrb7lhzxe,papyrus,1.0.1,0,SUCCESS,Not Scheduled,2qmijrp4qcvm3m4ix2ncd6hhrb7lhzxe,rqcppguosjr6ck2nbinmnox5hdi4s42x,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/papyrus/specs/2qmijrp4qcvm3m4ix2ncd6hhrb7lhzxe.yaml,"['wsqt35zdzh6tfz2i3dnek277xcvujbut', 'nnaxyn37rpv4cdnsn6bdq3dwjpjprguk']"
2qpbclyrmrwvnqdpxla3lpjnevnnsvdp,papyrus,1.0.2,0,SUCCESS,Not Scheduled,2qpbclyrmrwvnqdpxla3lpjnevnnsvdp,q57j2ox6tki2s5y2gt2rjbjvtrfxwg5i,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/papyrus/specs/2qpbclyrmrwvnqdpxla3lpjnevnnsvdp.yaml,"['f6pmtbfpfyjszbukxpsma5wq3rgi3joh', 'sm7tvonxqb65nc4huwkpqd2on2fqtiug']"
2t34t7ayq4w4ykahuzxlzaxtldaxr3wc,papyrus,1.0.2,0,SUCCESS,Not Scheduled,2t34t7ayq4w4ykahuzxlzaxtldaxr3wc,oxbhpfed5llegaiqyegeqqc4zpooqcvd,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/papyrus/specs/2t34t7ayq4w4ykahuzxlzaxtldaxr3wc.yaml,"['lbpam6wrjq2wvbwursykmvrhgofchnek', 'jav4wqudjcg7dsjv2bfmiftfzddznkg3']"
2uigfq7bfqqm756jy3lppgfqjqjjusg5,papyrus,master,0,SUCCESS,Not Scheduled,2uigfq7bfqqm756jy3lppgfqjqjjusg5,5t2vnpmcj3e44bmxyzlh7vhjmuvex6vr,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/papyrus/specs/2uigfq7bfqqm756jy3lppgfqjqjjusg5.yaml,"['uyabpizxmcmo5i237ce7p6jqziuwdtnp', '4nzq2eqvti2hifnqlkafgwvgpenqaale']"
2x4kdoyweus6cb6oepsgjfuwhbmgpygt,papyrus,1.0.1,0,SUCCESS,Not Scheduled,2x4kdoyweus6cb6oepsgjfuwhbmgpygt,jboxcqm2a7yo5ifi53ve77nwysk3v4u4,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/papyrus/specs/2x4kdoyweus6cb6oepsgjfuwhbmgpygt.yaml,"['76lh323v6qgmqkxfxx2s3d6hgu4wenn3', 'rq6s2a5f726vcpa4lrpyipn6q2phmqvt']"
