,name,version,level,Status,Reason,full_hash,hash,Num Successes,Num Fails,Alloc Time,yaml_file,dependencies
27ykunok3mru3trldh4lj4omrhnd35pp,kokkos-kernels,3.1.00,0,SUCCESS,Not Scheduled,27ykunok3mru3trldh4lj4omrhnd35pp,ipkcoh2l73dporxcegf2jc3qwwhn6rji,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/kokkos-kernels/specs/27ykunok3mru3trldh4lj4omrhnd35pp.yaml,"['5ay64uvfayabsrle65lzic5bqzfzh6iy', 't3mbppkkv4vbut6auzymq3vnkxr3ajyr']"
2aa5s4qvp3lzkkk2vzlu67nx7rbczxvd,kokkos-kernels,3.1.00,0,SUCCESS,Not Scheduled,2aa5s4qvp3lzkkk2vzlu67nx7rbczxvd,lgqnjejvil2a43rf6kbjfmrsubplvd26,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/kokkos-kernels/specs/2aa5s4qvp3lzkkk2vzlu67nx7rbczxvd.yaml,"['rncjcs6ssfs4mcdgr7icux7g44ao6dmt', 'teih2nsavj3dwp3yyfptpapzb2yyvxr4']"
2bxrpgkqv3t4xtzcis3crxyrroh7tpdp,kokkos-kernels,3.1.00,0,SUCCESS,Not Scheduled,2bxrpgkqv3t4xtzcis3crxyrroh7tpdp,ehfvyf5nexevbp3gq36x354rec7aswkr,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/kokkos-kernels/specs/2bxrpgkqv3t4xtzcis3crxyrroh7tpdp.yaml,"['lbpam6wrjq2wvbwursykmvrhgofchnek', 'xgeliq7ekkysgpngozsj6zpemgf5kjwa']"
2cza33fwpnfleujneiss325p77otxpzj,kokkos-kernels,3.2.00,0,SUCCESS,Not Scheduled,2cza33fwpnfleujneiss325p77otxpzj,linhsqjeih6gw2cvvv5ymocml6oof7kb,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/kokkos-kernels/specs/2cza33fwpnfleujneiss325p77otxpzj.yaml,"['urgd3icyegjxo43r37uelgc435b5gopu', 'qvxg577vdntdhw7kffvk57o56p3wahlm']"
2kouyyxsyestr6brdscbpc6j7dgd2qp3,kokkos-kernels,3.0.00,0,SUCCESS,Not Scheduled,2kouyyxsyestr6brdscbpc6j7dgd2qp3,f5fidmyqqe4r4bgl4cn36l5vspjmx7ck,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/kokkos-kernels/specs/2kouyyxsyestr6brdscbpc6j7dgd2qp3.yaml,"['6luac5333elbdpucon23uguqkqpiljvv', 'w2ybbtlnnrkeej3hskanu6n5qpfy77sv']"
2lklfpjyturgjtyas6fjvvdvcfoihi6u,kokkos-kernels,3.4.01,0,SUCCESS,Not Scheduled,2lklfpjyturgjtyas6fjvvdvcfoihi6u,5ylmau3a4xa3kerzochqhq2ja46yubnr,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/kokkos-kernels/specs/2lklfpjyturgjtyas6fjvvdvcfoihi6u.yaml,"['zpwdny2qsjkfx4n74fguqj2se3jmctwv', '4hgmfv4bn6plj54ens7zky7umoxcptwl']"
2nu7yn3ls7sls4yywip7uge5wqq4m6qg,kokkos-kernels,3.1.00,0,SUCCESS,Not Scheduled,2nu7yn3ls7sls4yywip7uge5wqq4m6qg,4i3vz4w4xcpbm3m2q3cpwwlnwtvck3dx,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/kokkos-kernels/specs/2nu7yn3ls7sls4yywip7uge5wqq4m6qg.yaml,"['vt7lide4cpukeofm25vp7cxvwbfbb55g', 'cuwhlkcproimgmiast3rqiqofyzfxv25']"
2pvn2lhlph3qfj5ocxmg6hlqekbg5vcl,kokkos-kernels,3.4.01,0,SUCCESS,Not Scheduled,2pvn2lhlph3qfj5ocxmg6hlqekbg5vcl,nuq5tpcu3ufthpzfbauil2g4iazmvwor,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/kokkos-kernels/specs/2pvn2lhlph3qfj5ocxmg6hlqekbg5vcl.yaml,"['332tygc22qycht4oybbwqpo5pmvkpx7h', 'ujw6rverxffwubskepyftws2eo33zide']"
32sj3ktmofzphpkbbdkvrh6ln4mi5zcc,kokkos-kernels,develop,0,SUCCESS,Not Scheduled,32sj3ktmofzphpkbbdkvrh6ln4mi5zcc,2jnomagctx7iwj7kd52csaqfaw3cav57,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/kokkos-kernels/specs/32sj3ktmofzphpkbbdkvrh6ln4mi5zcc.yaml,"['x57cd2yb5bh5lmm3rluojucbqqnegit4', 'hq67ye667upgp2xzpjiypm2xrsrymcbd']"
344w6i4ltpwbgtr2bdhrdzm5cqw6jhvw,kokkos-kernels,3.2.00,0,SUCCESS,Not Scheduled,344w6i4ltpwbgtr2bdhrdzm5cqw6jhvw,yeryynx57xrii66lwhn35ogqixu3xqx5,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/kokkos-kernels/specs/344w6i4ltpwbgtr2bdhrdzm5cqw6jhvw.yaml,"['uyabpizxmcmo5i237ce7p6jqziuwdtnp', '5vt6yaguqm3tqxg4jh2fe26xcjxwb725']"
367uuzbqmfzvhlsddouqsj4goeagcnzp,kokkos-kernels,3.1.00,0,SUCCESS,Not Scheduled,367uuzbqmfzvhlsddouqsj4goeagcnzp,rdjsaypsxnghar57wg43cv4ljnrrpi7a,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/kokkos-kernels/specs/367uuzbqmfzvhlsddouqsj4goeagcnzp.yaml,"['tt6pxxmh2ebmry4a3an3zbvco4xg6yk6', 'trzcytugun5bx5oqia5jyyukut3espdo']"
36ns254quimb5upurbkslrs7j2qwncvt,kokkos-kernels,3.4.01,0,SUCCESS,Not Scheduled,36ns254quimb5upurbkslrs7j2qwncvt,2xuvju6li35tk5ntnirinrubnqeoykm4,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/kokkos-kernels/specs/36ns254quimb5upurbkslrs7j2qwncvt.yaml,"['uerltlobdgp65ispjwdhzdzfcjzxifuc', 'yuyjtklkw6koanxgkrdljmkuxzqhmapl']"
3dyqzf5fwxvqt2urzp3sm3qxjdev4xsp,kokkos-kernels,3.2.00,0,SUCCESS,Not Scheduled,3dyqzf5fwxvqt2urzp3sm3qxjdev4xsp,kzmx677ocaeefuyud4cufbosdl3yzqpc,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/kokkos-kernels/specs/3dyqzf5fwxvqt2urzp3sm3qxjdev4xsp.yaml,"['c5p4p2ybhvuk2ddjlznqvufgro7kaoyj', 'uqichh3ij77rffn7xrlzgrzw73fv2met']"
3h7moyjungxybss5me4bglduj2jthrri,kokkos-kernels,3.2.00,0,SUCCESS,Not Scheduled,3h7moyjungxybss5me4bglduj2jthrri,yeryynx57xrii66lwhn35ogqixu3xqx5,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/kokkos-kernels/specs/3h7moyjungxybss5me4bglduj2jthrri.yaml,"['xnj4nmhjaz3qd4j7ow6gb3r6plf5eglj', 'wfsbqsp2ci5c5pyud4z2k2adzq2x7kdn']"
3xdu3eqolwm5m2xofcrsm54a2lm5p7ks,kokkos-kernels,3.4.01,0,SUCCESS,Not Scheduled,3xdu3eqolwm5m2xofcrsm54a2lm5p7ks,2xuvju6li35tk5ntnirinrubnqeoykm4,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/kokkos-kernels/specs/3xdu3eqolwm5m2xofcrsm54a2lm5p7ks.yaml,"['uoz23qgqo4qbj4qtjk6cqsxnmgziek3f', '6ukzowauvqhq4rgc6o322k323shqj5gm']"
6ulysqmvosdlfa6kmms74rigudhviecn,kokkos-kernels,3.4.01,0,SUCCESS,Not Scheduled,6ulysqmvosdlfa6kmms74rigudhviecn,3xwmcezqeijnhqs2nsgs2dfzl5aqhy23,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/kokkos-kernels/specs/6ulysqmvosdlfa6kmms74rigudhviecn.yaml,"['tt6pxxmh2ebmry4a3an3zbvco4xg6yk6', 'h7yg2sibjrn4iguxn6baradllfoctesv']"
77uzrm6qwdhbnrpohzjnbetb3ug3t7cj,kokkos-kernels,3.4.01,0,SUCCESS,Not Scheduled,77uzrm6qwdhbnrpohzjnbetb3ug3t7cj,y2piwm6n4c4otytevbpjpkx57te3n4uq,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/kokkos-kernels/specs/77uzrm6qwdhbnrpohzjnbetb3ug3t7cj.yaml,"['mb2haqjmjbmwwgik45gwfj2ghwi6ygto', '6bstkhe22hd27wp6xfqmwnmq6jqvaaxh']"
7m3qifnqa36kthu2kzicdg5qqewrnjem,kokkos-kernels,3.1.00,0,SUCCESS,Not Scheduled,7m3qifnqa36kthu2kzicdg5qqewrnjem,fghupxad4lqrs5dftmquc547qyxroni5,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/kokkos-kernels/specs/7m3qifnqa36kthu2kzicdg5qqewrnjem.yaml,"['elupkehd3uhq54xgxarsfic77hkj5373', '3f263xcojy6nyjfsz5i5m2touocrg3s3']"
7q3npwygt46pw34lqz4cfydkpdnu6hce,kokkos-kernels,3.4.01,0,SUCCESS,Not Scheduled,7q3npwygt46pw34lqz4cfydkpdnu6hce,3xwmcezqeijnhqs2nsgs2dfzl5aqhy23,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/kokkos-kernels/specs/7q3npwygt46pw34lqz4cfydkpdnu6hce.yaml,"['6cltqahmkaktfw324ji2dazdmvzcl74f', 'qcfchnzxennqudg5zirjpzvgpp5rgxqs']"
7tq6rbkdaj4iur3k37a6uo5gjlf3w2jj,kokkos-kernels,3.2.00,0,SUCCESS,Not Scheduled,7tq6rbkdaj4iur3k37a6uo5gjlf3w2jj,7kxfyqeoprfyqwyhzizn7vcy7xlb2yq2,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/kokkos-kernels/specs/7tq6rbkdaj4iur3k37a6uo5gjlf3w2jj.yaml,"['fm4ireyepeuzbbhzxu52tmdaiw46suw3', 'fs7ajcq4hqhjfq5hzwzr32nor7g7rn7u']"
7uzwbkeb2bqzzmc3adretoyzhxcvhuc2,kokkos-kernels,3.1.00,0,SUCCESS,Not Scheduled,7uzwbkeb2bqzzmc3adretoyzhxcvhuc2,4i3vz4w4xcpbm3m2q3cpwwlnwtvck3dx,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/kokkos-kernels/specs/7uzwbkeb2bqzzmc3adretoyzhxcvhuc2.yaml,"['deaxaf6gwrzvydgbpzrir7j6tfzfn4ee', 'ghsrqog3ocvfz222h67j63jpthvujgzm']"
7zd3xngzitz5ka4sjujvcandovs5w4do,kokkos-kernels,3.2.00,0,SUCCESS,Not Scheduled,7zd3xngzitz5ka4sjujvcandovs5w4do,linhsqjeih6gw2cvvv5ymocml6oof7kb,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/kokkos-kernels/specs/7zd3xngzitz5ka4sjujvcandovs5w4do.yaml,"['76lh323v6qgmqkxfxx2s3d6hgu4wenn3', 'fk5r4qob63yu5gnmwsisk7jjgpnvtydx']"
7zrlrmntdx4d2fuhxosntk5cdsyc6bur,kokkos-kernels,3.0.00,0,SUCCESS,Not Scheduled,7zrlrmntdx4d2fuhxosntk5cdsyc6bur,f5fidmyqqe4r4bgl4cn36l5vspjmx7ck,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/kokkos-kernels/specs/7zrlrmntdx4d2fuhxosntk5cdsyc6bur.yaml,"['2ooattvyzef7jcufitfnwstlfoxav4xl', '3rw7u6sqesnphj5s22sie6vxzlgafxbw']"
a46yxdplkwnnccuwbf2wflx4pe25rk7b,kokkos-kernels,3.4.01,0,SUCCESS,Not Scheduled,a46yxdplkwnnccuwbf2wflx4pe25rk7b,5ylmau3a4xa3kerzochqhq2ja46yubnr,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/kokkos-kernels/specs/a46yxdplkwnnccuwbf2wflx4pe25rk7b.yaml,"['37j4ggfds732gt5lhnfrbd23jqustt7q', '5of7fbdavekmrbjf7h5nurmnotnrykse']"
