,name,version,level,Status,Reason,full_hash,hash,Num Successes,Num Fails,Alloc Time,yaml_file,dependencies
5fottqxcptapgydp4kqctjanx7qoveoj,upcxx,2021.9.0,0,SUCCESS,Not Scheduled,5fottqxcptapgydp4kqctjanx7qoveoj,x5mxhxwpovgorize6ye6tnmycxup75jk,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/upcxx/specs/5fottqxcptapgydp4kqctjanx7qoveoj.yaml,"['sm7tvonxqb65nc4huwkpqd2on2fqtiug', '3wdvmcqskvxqr23q52jusijycg3warwj']"
64wesyksi4bskrqpyrxrnzdi5w36g7v6,upcxx,2021.3.0,0,SUCCESS,Not Scheduled,64wesyksi4bskrqpyrxrnzdi5w36g7v6,mz6nja455u4szz7gpuutz2dibot4rmuj,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/upcxx/specs/64wesyksi4bskrqpyrxrnzdi5w36g7v6.yaml,"['o67hxbh52k63nf4og7xilfcc2gsfhrcl', 'hnhnmd3jslo76lpivjlkxepo5noqcapo']"
6cqlanmk4b44dpum53ee6nbvrtwz4w2b,upcxx,2021.3.0,0,SUCCESS,Not Scheduled,6cqlanmk4b44dpum53ee6nbvrtwz4w2b,hdbemwvstpsi4lxovzaecnjr4k3c3alt,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/upcxx/specs/6cqlanmk4b44dpum53ee6nbvrtwz4w2b.yaml,"['qao2iw6bdjj5a6bwmda4f7xqf6lhvu2z', 'udlxxcjgb2rmvvbn2qgni5wvjuwcyoso']"
6m4m24fd2iqjaxpltpc3zu24x2rfdjre,upcxx,2020.10.0,0,SUCCESS,Not Scheduled,6m4m24fd2iqjaxpltpc3zu24x2rfdjre,st76mbraxchrywud5srykbj445jy4dl7,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/upcxx/specs/6m4m24fd2iqjaxpltpc3zu24x2rfdjre.yaml,"['nnaxyn37rpv4cdnsn6bdq3dwjpjprguk', 'qq6s6upvciqxpd6uym2kocar23swkzkr']"
6sdpqxrzxizkwrrghnygrb5oxofrknpb,upcxx,develop,0,SUCCESS,Not Scheduled,6sdpqxrzxizkwrrghnygrb5oxofrknpb,4pf3fgg746e5pjjqlpppkkvxlfq32iji,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/upcxx/specs/6sdpqxrzxizkwrrghnygrb5oxofrknpb.yaml,"['nnaxyn37rpv4cdnsn6bdq3dwjpjprguk', 'wtayizrgsmmtgroilztyema5gqwtha4a']"
73t76xueuysc64dbbznduukxpbqvhjw6,upcxx,2020.11.0,0,SUCCESS,Not Scheduled,73t76xueuysc64dbbznduukxpbqvhjw6,lkl4oawnlu6vj7q2vkj5j4jpg3jowx7e,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/upcxx/specs/73t76xueuysc64dbbznduukxpbqvhjw6.yaml,"['piol2hoakmpxu4jmihya3hfisbwwat7p', '4aqfxuboprac34daq63f43zldnknyw3e']"
75lc4bjepxrodolz2obgnj4nyyatgikn,upcxx,master,0,SUCCESS,Not Scheduled,75lc4bjepxrodolz2obgnj4nyyatgikn,t2ygvlpzzmggzpf24i27yttvu6pq4il5,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/upcxx/specs/75lc4bjepxrodolz2obgnj4nyyatgikn.yaml,"['oos6gwszelolzfanpnpghhdq6uco6yiq', 'mtkvtrd5gwojttkg3ouj4tqssfi53hzi']"
75nslp5sqe4ntplml5oqo472467wyeo5,upcxx,develop,0,SUCCESS,Not Scheduled,75nslp5sqe4ntplml5oqo472467wyeo5,5nub76zqybihhr4mc5ge2bzlr7lxyc3s,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/upcxx/specs/75nslp5sqe4ntplml5oqo472467wyeo5.yaml,"['o67hxbh52k63nf4og7xilfcc2gsfhrcl', 'hwqqsa7fn56hlxqsfske22y4qm5cwmpt']"
7axrf6v5diqvzxbwra5lm2zbab2g7ywe,upcxx,master,0,SUCCESS,Not Scheduled,7axrf6v5diqvzxbwra5lm2zbab2g7ywe,py4oyuun6argnfozftiudovjzi6xsxvv,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/upcxx/specs/7axrf6v5diqvzxbwra5lm2zbab2g7ywe.yaml,"['rq6s2a5f726vcpa4lrpyipn6q2phmqvt', 'swh4d2xlg77mo2faldfmgaemxqcqqfpx']"
7g3geywfu5jxywq4i6gbbud6b4ks3y6x,upcxx,2020.3.0,0,SUCCESS,Not Scheduled,7g3geywfu5jxywq4i6gbbud6b4ks3y6x,kqkjtv6hubrnjyv3xh6g542q3k5p7bfr,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/upcxx/specs/7g3geywfu5jxywq4i6gbbud6b4ks3y6x.yaml,"['oos6gwszelolzfanpnpghhdq6uco6yiq', 'vqlevidp2n32rsegc7557ijp4ayfwao6']"
