,name,version,level,Status,Reason,full_hash,hash,Num Successes,Num Fails,Alloc Time,yaml_file,dependencies
225mtrqy24bbgvgqjqlhktujfdg3xybe,trilinos,12.14.1,0,SUCCESS,Not Scheduled,225mtrqy24bbgvgqjqlhktujfdg3xybe,rj4gw7slrfwwtufsv5qpiugwvsd6tlmp,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/trilinos/specs/225mtrqy24bbgvgqjqlhktujfdg3xybe.yaml,"['noscbwubzsd4enpgi5carwuwqsz3yhsh', 'xemmkfoxkb4os7ou3mfjvvmgqtofilf7', 'bipsdb7du7mlckwablufo2s7f6y4tuoo']"
2bdvy6ronoipsof5uvbivubapwbaiyvc,trilinos,12.8.1,0,SUCCESS,Not Scheduled,2bdvy6ronoipsof5uvbivubapwbaiyvc,rt3ftr4di74hvslo5r365pkhdl7ticik,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/trilinos/specs/2bdvy6ronoipsof5uvbivubapwbaiyvc.yaml,"['5brfyennvekbvmj53e6w4bkvsddto4gt', 'j62j2asakghe7wh4363q34bcovdx6nzq', 'umeoxntlof6ywpxumvrky3n72yw5wrle']"
2d3tobggi3okxpagi2vwl4gt5vkkjguh,trilinos,13.0.0,0,SUCCESS,Not Scheduled,2d3tobggi3okxpagi2vwl4gt5vkkjguh,4enqdmdncj4gl7muoyhlb6vvi7olvnbh,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/trilinos/specs/2d3tobggi3okxpagi2vwl4gt5vkkjguh.yaml,"['dyokhz4n5i2g66jii6skrvyhm4gaz5gj', 'asfcrbfotb33lweulpgxnct5aus6w33x', '5asni3tbuo7fyynkwxvtxuw7q5yo3yzl', 'lpwx7472pfniu3t6e7w4qyddfpcyanfc']"
2ffymc25rb5ctvcdnydof4dvuciame6o,trilinos,12.6.2,0,SUCCESS,Not Scheduled,2ffymc25rb5ctvcdnydof4dvuciame6o,sjhnyucq4u6jyof5snxrz6s46ixpev4o,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/trilinos/specs/2ffymc25rb5ctvcdnydof4dvuciame6o.yaml,"['bqziyetbg53bzz6jmkono3xes4on3s7w', '7rkeeko2xbxlu7wiego4g563toahkh4i', 'yn5jns57cyts4x5t2i3dhchdv5ywd7sb']"
2iueojtcbzeucbzinn5bvarqeze46dua,trilinos,12.12.1,0,SUCCESS,Not Scheduled,2iueojtcbzeucbzinn5bvarqeze46dua,s6txroqhwcvqrqdkhcn22fivglhtjuww,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/trilinos/specs/2iueojtcbzeucbzinn5bvarqeze46dua.yaml,"['xlercmfvlbtbzc6garcp645e6goqxcji', 'gkzxnr4u6to7r7ait6old4xd62ss65ck', 'usch6u43gi3br3ac3jpbcufylqui3nwm']"
2p2lkds4q2kslut4tfyjmtrlbavt4tnn,trilinos,13.0.1,0,SUCCESS,Not Scheduled,2p2lkds4q2kslut4tfyjmtrlbavt4tnn,rs5ogpf5oogld6p42albav4npumgjpas,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/trilinos/specs/2p2lkds4q2kslut4tfyjmtrlbavt4tnn.yaml,"['pokdiyftfm5gscvi55vhxxwpmscfqnfq', 'x6yywhlrpjwter3vdfwnh77bc7tw73g5', 'z4yo5olocpnbizxqiatxsepultglx2xs', 'smgf2fa7mmes4nvt3eahkfbshfeoeqzf']"
2xpog36babr5xxqsk5nfi55oaav2m6lo,trilinos,12.12.1,0,SUCCESS,Not Scheduled,2xpog36babr5xxqsk5nfi55oaav2m6lo,k6ul3iivyjvqphtxmrcw4eazjzhiv7cg,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/trilinos/specs/2xpog36babr5xxqsk5nfi55oaav2m6lo.yaml,"['7m5s2m4y67uwlnduxr3llaeje2d7zj5d', 'schm6xmdfhwpjflqnurvjtlnmjznviu5', 'smgf2fa7mmes4nvt3eahkfbshfeoeqzf']"
325hl66kljjtuxb7imx2obzy7hqunaxd,trilinos,12.6.2,0,SUCCESS,Not Scheduled,325hl66kljjtuxb7imx2obzy7hqunaxd,aokx54svy36lkas5jre25x5yz4z46hwm,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/trilinos/specs/325hl66kljjtuxb7imx2obzy7hqunaxd.yaml,"['lbpam6wrjq2wvbwursykmvrhgofchnek', 'wpt4rt5yur277m3ehhe2mq7j6e72iujm', 'bwsf7zm23l7uo7jrlmauvq436puvvk2b']"
3dybrcl63uybqlx6d7a547mkb7zthgj6,trilinos,12.6.4,0,SUCCESS,Not Scheduled,3dybrcl63uybqlx6d7a547mkb7zthgj6,a6hgeolxz4aaybl56r5chyaomg3ahz2l,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/trilinos/specs/3dybrcl63uybqlx6d7a547mkb7zthgj6.yaml,"['unz4hqjf4rrjqyncvgbhdw4huosiqkz4', 'uy63juph5ce5a5hqqg7lybda7alqeyvu', 'urtkc25kvo4f4eslehtlxefxro2yljjh']"
3fdewzrscebwfbo4yy6qwll7r5fr7mwc,trilinos,13.0.1,0,SUCCESS,Not Scheduled,3fdewzrscebwfbo4yy6qwll7r5fr7mwc,em6kcfzqfkcmr7vgnrxaznzzzkegxhyc,1,0,3600,/p/vast1/koparasy/BUILD/spack_cluster_installer/quartz/trilinos/specs/3fdewzrscebwfbo4yy6qwll7r5fr7mwc.yaml,"['u6bzhjrdtr5azhki266jzn5qew5concn', 'ic3onq2swf425wr65m6w5oxghoyd4l2y', 'jku2krnnwoipy7qdahglolaforiih5hr', 'nkydxbnncvlgmivwr6qb3mplwpsnhmdw']"
